b	B-entity
i	I-entity
u	I-entity
b	I-entity
i	I-entity
u	I-entity
加	I-entity
速	I-entity
器	I-entity
将	O
通	O
过	O
用	O
户	O
的	O
I	O
P	O
地	O
址	O
来	O
收	O
集	O
非	B-dataObj
个	I-dataObj
人	I-dataObj
的	I-dataObj
信	I-dataObj
息	I-dataObj
，	O
例	O
如	O
您	O
的	O
设	B-dataObj
备	I-dataObj
性	I-dataObj
质	I-dataObj
、	O
操	B-dataObj
作	I-dataObj
系	I-dataObj
统	I-dataObj
种	I-dataObj
类	I-dataObj
、	O
给	O
您	O
提	B-dataObj
供	I-dataObj
接	I-dataObj
入	I-dataObj
服	I-dataObj
务	I-dataObj
的	I-dataObj
I	I-dataObj
S	I-dataObj
P	I-dataObj
的	I-dataObj
域	I-dataObj
名	I-dataObj
等	O
，	O
以	O
优	O
化	O
在	O
您	O
手	O
机	O
屏	O
幕	O
上	O
显	O
示	O
的	O
页	O
面	O
。	O
